steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
244.0000,0.0000,-13.2000,244.0000,-13.2000,0.0000,-13.2000,-0.0600,0.0821
429.0000,1.0000,-19.6000,185.0000,-6.4000,0.0000,-6.4000,-0.0600,0.0821
611.0000,2.0000,-26.1000,182.0000,-6.5000,0.0000,-6.4000,-0.0600,0.0821
758.0000,3.0000,-34.2000,147.0000,-8.1000,0.0000,-6.4000,-0.0600,0.0821
877.0000,4.0000,-39.8000,119.0000,-5.6000,0.0000,-5.6000,-0.0600,0.0821
959.0000,5.0000,-47.0000,82.0000,-7.2000,0.0000,-5.6000,-0.0600,0.0821
1239.0000,6.0000,-37.2000,280.0000,9.8000,32.4000,9.8000,-0.0600,0.0821
1460.0000,7.0000,-53.4000,221.0000,-16.2000,0.0000,9.8000,-0.0600,0.0821
1571.0000,8.0000,-62.2000,111.0000,-8.8000,0.0000,9.8000,-0.0600,0.0821
1694.0000,9.0000,-73.1000,123.0000,-10.9000,0.0000,9.8000,-0.0600,0.0821
1887.0000,10.0000,-79.3000,193.0000,-6.2000,0.0000,9.8000,-16.1150,1.1554
2077.0000,11.0000,-84.5000,190.0000,-5.2000,0.0000,9.8000,-16.1150,1.1554
2353.0000,12.0000,-102.4000,276.0000,-17.9000,0.0000,9.8000,-16.1150,1.1554
2608.0000,13.0000,-111.3000,255.0000,-8.9000,0.0000,9.8000,-16.1150,1.1554
2695.0000,14.0000,-116.8000,87.0000,-5.5000,0.0000,9.8000,-16.1150,1.1554
2778.0000,15.0000,-125.1000,83.0000,-8.3000,0.0000,9.8000,-16.1150,1.1554
3136.0000,16.0000,-103.7000,358.0000,21.4000,45.0000,21.4000,-16.1150,1.1554
3494.0000,17.0000,-132.4000,358.0000,-28.7000,0.0000,21.4000,-16.1150,1.1554
3689.0000,18.0000,-135.4000,195.0000,-3.0000,0.0000,21.4000,-16.1150,1.1554
3820.0000,19.0000,-144.0000,131.0000,-8.6000,0.0000,21.4000,-16.1150,1.1554
3967.0000,20.0000,-149.5000,147.0000,-5.5000,0.0000,21.4000,-7.8150,0.2323
4077.0000,21.0000,-156.6000,110.0000,-7.1000,0.0000,21.4000,-7.8150,0.2323
4710.0000,22.0000,-199.3000,633.0000,-42.7000,0.0000,21.4000,-7.8150,0.2323
4817.0000,23.0000,-209.2000,107.0000,-9.9000,0.0000,21.4000,-7.8150,0.2323
4911.0000,24.0000,-216.1000,94.0000,-6.9000,0.0000,21.4000,-7.8150,0.2323
5041.0000,25.0000,-222.3000,130.0000,-6.2000,0.0000,21.4000,-7.8150,0.2323
5198.0000,26.0000,-233.5000,157.0000,-11.2000,0.0000,21.4000,-7.8150,0.2323
5516.0000,27.0000,-254.1000,318.0000,-20.6000,3.6000,21.4000,-7.8150,0.2323
5886.0000,28.0000,-271.2000,370.0000,-17.1000,0.0000,21.4000,-7.8150,0.2323
6003.0000,29.0000,-274.5000,117.0000,-3.3000,0.0000,21.4000,-7.8150,0.2323
6262.0000,30.0000,-292.6000,259.0000,-18.1000,0.0000,21.4000,-8.0350,3.1673
6363.0000,31.0000,-299.9000,101.0000,-7.3000,0.0000,21.4000,-8.0350,3.1673
6737.0000,32.0000,-316.4000,374.0000,-16.5000,11.0000,21.4000,-8.0350,3.1673
7095.0000,33.0000,-342.3000,358.0000,-25.9000,0.0000,21.4000,-8.0350,3.1673
7195.0000,34.0000,-349.6000,100.0000,-7.3000,0.0000,21.4000,-8.0350,3.1673
7318.0000,35.0000,-356.4000,123.0000,-6.8000,0.0000,21.4000,-8.0350,3.1673
7528.0000,36.0000,-371.5000,210.0000,-15.1000,0.0000,21.4000,-8.0350,3.1673
7930.0000,37.0000,-391.2000,402.0000,-19.7000,5.4000,21.4000,-8.0350,3.1673
8178.0000,38.0000,-399.8000,248.0000,-8.6000,6.3000,21.4000,-8.0350,3.1673
8268.0000,39.0000,-408.0000,90.0000,-8.2000,0.0000,21.4000,-8.0350,3.1673
8620.0000,40.0000,-432.5000,352.0000,-24.5000,0.0000,21.4000,-6.4250,0.1293
8728.0000,41.0000,-438.6000,108.0000,-6.1000,0.0000,21.4000,-6.4250,0.1293
8988.0000,42.0000,-452.8000,260.0000,-14.2000,0.0000,21.4000,-6.4250,0.1293
9069.0000,43.0000,-460.9000,81.0000,-8.1000,0.0000,21.4000,-6.4250,0.1293
9188.0000,44.0000,-469.4000,119.0000,-8.5000,0.0000,21.4000,-6.4250,0.1293
9385.0000,45.0000,-485.1000,197.0000,-15.7000,0.0000,21.4000,-6.4250,0.1293
9705.0000,46.0000,-513.6000,320.0000,-28.5000,0.0000,21.4000,-6.4250,0.1293
10015.0000,47.0000,-536.7000,310.0000,-23.1000,0.0000,21.4000,-6.4250,0.1293
10264.0000,48.0000,-545.2000,249.0000,-8.5000,0.0000,21.4000,-6.4250,0.1293
10540.0000,49.0000,-541.3000,276.0000,3.9000,19.0000,21.4000,-6.4250,0.1293
10817.0000,50.0000,-562.8000,277.0000,-21.5000,0.0000,21.4000,-17.8300,9.5451
11287.0000,51.0000,-599.8000,470.0000,-37.0000,0.0000,21.4000,-17.8300,9.5451
11646.0000,52.0000,-612.9000,359.0000,-13.1000,10.8000,21.4000,-17.8300,9.5451
