steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
236.0000,0.0000,-14.5000,236.0000,-14.5000,0.0000,-14.5000,-3.3600,0.2074
812.0000,1.0000,-25.0000,576.0000,-10.5000,0.0000,-10.5000,-3.3600,0.2074
901.0000,2.0000,-32.7000,89.0000,-7.7000,0.0000,-7.7000,-3.3600,0.2074
1562.0000,3.0000,-56.9000,661.0000,-24.2000,0.0000,-7.7000,-3.3600,0.2074
1817.0000,4.0000,-78.3000,255.0000,-21.4000,0.0000,-7.7000,-3.3600,0.2074
2091.0000,5.0000,-104.8000,274.0000,-26.5000,0.0000,-7.7000,-3.3600,0.2074
2400.0000,6.0000,-113.9000,309.0000,-9.1000,0.0000,-7.7000,-3.3600,0.2074
2570.0000,7.0000,-121.8000,170.0000,-7.9000,0.0000,-7.7000,-3.3600,0.2074
2706.0000,8.0000,-133.4000,136.0000,-11.6000,0.0000,-7.7000,-3.3600,0.2074
2817.0000,9.0000,-142.2000,111.0000,-8.8000,0.0000,-7.7000,-3.3600,0.2074
2995.0000,10.0000,-151.1000,178.0000,-8.9000,0.0000,-7.7000,-12.7200,0.3347
3195.0000,11.0000,-158.0000,200.0000,-6.9000,0.0000,-6.9000,-12.7200,0.3347
3539.0000,12.0000,-165.0000,344.0000,-7.0000,0.0000,-6.9000,-12.7200,0.3347
3786.0000,13.0000,-168.6000,247.0000,-3.6000,0.0000,-3.6000,-12.7200,0.3347
3932.0000,14.0000,-177.5000,146.0000,-8.9000,0.0000,-3.6000,-12.7200,0.3347
4847.0000,15.0000,-192.3000,915.0000,-14.8000,0.0000,-3.6000,-12.7200,0.3347
4995.0000,16.0000,-199.5000,148.0000,-7.2000,0.0000,-3.6000,-12.7200,0.3347
5139.0000,17.0000,-207.6000,144.0000,-8.1000,0.0000,-3.6000,-12.7200,0.3347
5377.0000,18.0000,-223.3000,238.0000,-15.7000,0.0000,-3.6000,-12.7200,0.3347
5724.0000,19.0000,-238.0000,347.0000,-14.7000,0.0000,-3.6000,-12.7200,0.3347
