steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
368.0000,0.0000,-15.6000,368.0000,-15.6000,0.0000,-15.6000,-0.1500,0.3502
577.0000,1.0000,-21.3000,209.0000,-5.7000,0.0000,-5.7000,-0.1500,0.3502
851.0000,2.0000,-28.0000,274.0000,-6.7000,0.0000,-5.7000,-0.1500,0.3502
1042.0000,3.0000,-37.0000,191.0000,-9.0000,0.0000,-5.7000,-0.1500,0.3502
1262.0000,4.0000,-46.6000,220.0000,-9.6000,0.0000,-5.7000,-0.1500,0.3502
1485.0000,5.0000,-57.0000,223.0000,-10.4000,0.0000,-5.7000,-0.1500,0.3502
1726.0000,6.0000,-62.9000,241.0000,-5.9000,0.0000,-5.7000,-0.1500,0.3502
2132.0000,7.0000,-75.7000,406.0000,-12.8000,0.0000,-5.7000,-0.1500,0.3502
2373.0000,8.0000,-83.6000,241.0000,-7.9000,0.0000,-5.7000,-0.1500,0.3502
2643.0000,9.0000,-90.6000,270.0000,-7.0000,0.0000,-5.7000,-0.1500,0.3502
2901.0000,10.0000,-97.1000,258.0000,-6.5000,0.0000,-5.7000,0.0000,0.0000
3207.0000,11.0000,-105.2000,306.0000,-8.1000,0.0000,-5.7000,0.0000,0.0000
3750.0000,12.0000,-121.4000,543.0000,-16.2000,0.0000,-5.7000,0.0000,0.0000
4241.0000,13.0000,-131.5000,491.0000,-10.1000,0.0000,-5.7000,0.0000,0.0000
4691.0000,14.0000,-140.9000,450.0000,-9.4000,0.0000,-5.7000,0.0000,0.0000
5692.0000,15.0000,-158.2000,1001.0000,-17.3000,0.0000,-5.7000,0.0000,0.0000
6069.0000,16.0000,-165.5000,377.0000,-7.3000,0.0000,-5.7000,0.0000,0.0000
6227.0000,17.0000,-169.5000,158.0000,-4.0000,0.0000,-4.0000,0.0000,0.0000
6374.0000,18.0000,-173.7000,147.0000,-4.2000,0.0000,-4.0000,0.0000,0.0000
6501.0000,19.0000,-180.1000,127.0000,-6.4000,0.0000,-4.0000,0.0000,0.0000
6630.0000,20.0000,-185.2000,129.0000,-5.1000,0.0000,-4.0000,-3.2025,0.1118
6766.0000,21.0000,-190.8000,136.0000,-5.6000,0.0000,-4.0000,-3.2025,0.1118
6908.0000,22.0000,-196.3000,142.0000,-5.5000,0.0000,-4.0000,-3.2025,0.1118
7073.0000,23.0000,-203.5000,165.0000,-7.2000,0.0000,-4.0000,-3.2025,0.1118
7228.0000,24.0000,-210.5000,155.0000,-7.0000,0.0000,-4.0000,-3.2025,0.1118
7356.0000,25.0000,-217.1000,128.0000,-6.6000,0.0000,-4.0000,-3.2025,0.1118
7514.0000,26.0000,-221.9000,158.0000,-4.8000,0.0000,-4.0000,-3.2025,0.1118
7648.0000,27.0000,-226.5000,134.0000,-4.6000,0.0000,-4.0000,-3.2025,0.1118
7826.0000,28.0000,-233.1000,178.0000,-6.6000,0.0000,-4.0000,-3.2025,0.1118
8043.0000,29.0000,-240.0000,217.0000,-6.9000,0.0000,-4.0000,-3.2025,0.1118
8265.0000,30.0000,-244.5000,222.0000,-4.5000,0.0000,-4.0000,0.0000,0.0000
8502.0000,31.0000,-248.7000,237.0000,-4.2000,0.0000,-4.0000,0.0000,0.0000
8720.0000,32.0000,-253.4000,218.0000,-4.7000,0.0000,-4.0000,0.0000,0.0000
9280.0000,33.0000,-262.3000,560.0000,-8.9000,0.0000,-4.0000,0.0000,0.0000
9689.0000,34.0000,-269.6000,409.0000,-7.3000,0.0000,-4.0000,0.0000,0.0000
10690.0000,35.0000,-289.4000,1001.0000,-19.8000,4.7000,-4.0000,0.0000,0.0000
11137.0000,36.0000,-298.5000,447.0000,-9.1000,0.0000,-4.0000,0.0000,0.0000
