steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
259.0000,0.0000,-12.2000,259.0000,-12.2000,0.0000,-12.2000,-5.9000,0.3873
454.0000,1.0000,-18.9000,195.0000,-6.7000,0.0000,-6.7000,-5.9000,0.3873
1010.0000,2.0000,-35.6000,556.0000,-16.7000,0.0000,-6.7000,-5.9000,0.3873
1154.0000,3.0000,-42.6000,144.0000,-7.0000,0.0000,-6.7000,-5.9000,0.3873
1272.0000,4.0000,-47.5000,118.0000,-4.9000,0.0000,-4.9000,-5.9000,0.3873
1712.0000,5.0000,-84.5000,440.0000,-37.0000,0.0000,-4.9000,-5.9000,0.3873
2027.0000,6.0000,-90.7000,315.0000,-6.2000,0.0000,-4.9000,-5.9000,0.3873
2265.0000,7.0000,-100.8000,238.0000,-10.1000,0.0000,-4.9000,-5.9000,0.3873
2583.0000,8.0000,-117.3000,318.0000,-16.5000,0.0000,-4.9000,-5.9000,0.3873
2665.0000,9.0000,-125.1000,82.0000,-7.8000,0.0000,-4.9000,-5.9000,0.3873
2760.0000,10.0000,-133.5000,95.0000,-8.4000,0.0000,-4.9000,-9.6400,1.4588
2901.0000,11.0000,-143.4000,141.0000,-9.9000,0.0000,-4.9000,-9.6400,1.4588
2997.0000,12.0000,-150.9000,96.0000,-7.5000,0.0000,-4.9000,-9.6400,1.4588
3499.0000,13.0000,-155.7000,502.0000,-4.8000,31.9000,-4.8000,-9.6400,1.4588
3582.0000,14.0000,-162.8000,83.0000,-7.1000,0.0000,-4.8000,-9.6400,1.4588
3711.0000,15.0000,-175.7000,129.0000,-12.9000,0.0000,-4.8000,-9.6400,1.4588
3800.0000,16.0000,-183.6000,89.0000,-7.9000,0.0000,-4.8000,-9.6400,1.4588
4149.0000,17.0000,-202.8000,349.0000,-19.2000,0.0000,-4.8000,-9.6400,1.4588
4279.0000,18.0000,-212.8000,130.0000,-10.0000,0.0000,-4.8000,-9.6400,1.4588
5241.0000,19.0000,-182.3000,962.0000,30.5000,69.7000,30.5000,-9.6400,1.4588
5334.0000,20.0000,-190.4000,93.0000,-8.1000,0.0000,30.5000,-16.9800,0.6058
