steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
269.0000,0.0000,-12.9000,269.0000,-12.9000,0.0000,-12.9000,-21.9800,9.5975
876.0000,1.0000,-20.1000,607.0000,-7.2000,0.0000,-7.2000,-21.9800,9.5975
1339.0000,2.0000,-30.0000,463.0000,-9.9000,0.0000,-7.2000,-21.9800,9.5975
2067.0000,3.0000,-31.6000,728.0000,-1.6000,0.0000,-1.6000,-21.9800,9.5975
3068.0000,4.0000,-32.2000,1001.0000,-0.6000,0.0000,-0.6000,-21.9800,9.5975
3751.0000,5.0000,-37.7000,683.0000,-5.5000,0.0000,-0.6000,-21.9800,9.5975
4017.0000,6.0000,-55.4000,266.0000,-17.7000,0.0000,-0.6000,-21.9800,9.5975
4348.0000,7.0000,-75.7000,331.0000,-20.3000,0.0000,-0.6000,-21.9800,9.5975
4677.0000,8.0000,-96.0000,329.0000,-20.3000,0.0000,-0.6000,-21.9800,9.5975
5324.0000,9.0000,-120.4000,647.0000,-24.4000,8.1000,-0.6000,-21.9800,9.5975
5405.0000,10.0000,-128.5000,81.0000,-8.1000,0.0000,-0.6000,-3.0600,0.0894
5568.0000,11.0000,-132.1000,163.0000,-3.6000,0.0000,-0.6000,-3.0600,0.0894
6029.0000,12.0000,-141.7000,461.0000,-9.6000,0.0000,-0.6000,-3.0600,0.0894
6553.0000,13.0000,-151.3000,524.0000,-9.6000,6.0000,-0.6000,-3.0600,0.0894
7454.0000,14.0000,-190.4000,901.0000,-39.1000,0.0000,-0.6000,-3.0600,0.0894
7744.0000,15.0000,-201.2000,290.0000,-10.8000,5.0000,-0.6000,-3.0600,0.0894
7980.0000,16.0000,-214.2000,236.0000,-13.0000,0.0000,-0.6000,-3.0600,0.0894
8147.0000,17.0000,-222.5000,167.0000,-8.3000,0.0000,-0.6000,-3.0600,0.0894
8239.0000,18.0000,-227.7000,92.0000,-5.2000,0.0000,-0.6000,-3.0600,0.0894
8531.0000,19.0000,-243.7000,292.0000,-16.0000,0.0000,-0.6000,-3.0600,0.0894
8698.0000,20.0000,-254.3000,167.0000,-10.6000,0.0000,-0.6000,-19.5200,8.5859
9107.0000,21.0000,-269.2000,409.0000,-14.9000,0.0000,-0.6000,-19.5200,8.5859
9252.0000,22.0000,-278.8000,145.0000,-9.6000,0.0000,-0.6000,-19.5200,8.5859
9393.0000,23.0000,-286.5000,141.0000,-7.7000,0.0000,-0.6000,-19.5200,8.5859
9513.0000,24.0000,-294.1000,120.0000,-7.6000,0.0000,-0.6000,-19.5200,8.5859
9610.0000,25.0000,-300.6000,97.0000,-6.5000,0.0000,-0.6000,-19.5200,8.5859
9781.0000,26.0000,-305.3000,171.0000,-4.7000,0.0000,-0.6000,-19.5200,8.5859
10075.0000,27.0000,-323.8000,294.0000,-18.5000,0.0000,-0.6000,-19.5200,8.5859
10497.0000,28.0000,-348.3000,422.0000,-24.5000,0.0000,-0.6000,-19.5200,8.5859
10618.0000,29.0000,-355.3000,121.0000,-7.0000,0.0000,-0.6000,-19.5200,8.5859
10750.0000,30.0000,-363.2000,132.0000,-7.9000,0.0000,-0.6000,-10.1000,0.1000
10860.0000,31.0000,-371.4000,110.0000,-8.2000,0.0000,-0.6000,-10.1000,0.1000
10947.0000,32.0000,-376.8000,87.0000,-5.4000,0.0000,-0.6000,-10.1000,0.1000
11920.0000,33.0000,-321.7000,973.0000,55.1000,110.1000,55.1000,-10.1000,0.1000
12267.0000,34.0000,-336.1000,347.0000,-14.4000,0.0000,55.1000,-10.1000,0.1000
12562.0000,35.0000,-346.4000,295.0000,-10.3000,0.0000,55.1000,-10.1000,0.1000
13166.0000,36.0000,-374.6000,604.0000,-28.2000,15.3000,55.1000,-10.1000,0.1000
13272.0000,37.0000,-383.9000,106.0000,-9.3000,0.0000,55.1000,-10.1000,0.1000
13944.0000,38.0000,-403.5000,672.0000,-19.6000,14.9000,55.1000,-10.1000,0.1000
14313.0000,39.0000,-416.4000,369.0000,-12.9000,0.0000,55.1000,-10.1000,0.1000
14865.0000,40.0000,-427.4000,552.0000,-11.0000,14.0000,55.1000,-19.0200,8.0837
15510.0000,41.0000,-378.5000,645.0000,48.9000,77.4000,55.1000,-19.0200,8.0837
15646.0000,42.0000,-389.4000,136.0000,-10.9000,0.0000,55.1000,-19.0200,8.0837
15985.0000,43.0000,-389.5000,339.0000,-0.1000,14.0000,55.1000,-19.0200,8.0837
16336.0000,44.0000,-407.1000,351.0000,-17.6000,0.0000,55.1000,-19.0200,8.0837
17237.0000,45.0000,-437.9000,901.0000,-30.8000,0.0000,55.1000,-19.0200,8.0837
17823.0000,46.0000,-459.3000,586.0000,-21.4000,2.7000,55.1000,-19.0200,8.0837
17995.0000,47.0000,-472.1000,172.0000,-12.8000,0.0000,55.1000,-19.0200,8.0837
18996.0000,48.0000,-503.0000,1001.0000,-30.9000,0.0000,55.1000,-19.0200,8.0837
19783.0000,49.0000,-509.3000,787.0000,-6.3000,21.8000,55.1000,-19.0200,8.0837
19890.0000,50.0000,-518.2000,107.0000,-8.9000,0.0000,55.1000,-31.2000,0.3536
20483.0000,51.0000,-540.6000,593.0000,-22.4000,14.0000,55.1000,-31.2000,0.3536
20836.0000,52.0000,-558.2000,353.0000,-17.6000,0.0000,55.1000,-31.2000,0.3536
21412.0000,53.0000,-594.8000,576.0000,-36.6000,0.0000,55.1000,-31.2000,0.3536
21575.0000,54.0000,-604.2000,163.0000,-9.4000,0.0000,55.1000,-31.2000,0.3536
22023.0000,55.0000,-627.1000,448.0000,-22.9000,0.0000,55.1000,-31.2000,0.3536
23024.0000,56.0000,-678.6000,1001.0000,-51.5000,0.0000,55.1000,-31.2000,0.3536
23308.0000,57.0000,-698.5000,284.0000,-19.9000,0.0000,55.1000,-31.2000,0.3536
23758.0000,58.0000,-726.3000,450.0000,-27.8000,0.0000,55.1000,-31.2000,0.3536
24489.0000,59.0000,-760.7000,731.0000,-34.4000,0.0000,55.1000,-31.2000,0.3536
25000.0000,60.0000,-730.9000,511.0000,29.8000,62.3000,55.1000,-3.0400,1.7358
25618.0000,61.0000,-730.8000,618.0000,0.1000,30.0000,55.1000,-3.0400,1.7358
26619.0000,62.0000,-716.2000,1001.0000,14.6000,51.8000,55.1000,-3.0400,1.7358
27538.0000,63.0000,-754.6000,919.0000,-38.4000,0.0000,55.1000,-3.0400,1.7358
28441.0000,64.0000,-752.7000,903.0000,1.9000,50.9000,55.1000,-3.0400,1.7358
29442.0000,65.0000,-752.6000,1001.0000,0.1000,49.4000,55.1000,-3.0400,1.7358
29850.0000,66.0000,-782.1000,408.0000,-29.5000,0.0000,55.1000,-3.0400,1.7358
30300.0000,67.0000,-811.3000,450.0000,-29.2000,0.0000,55.1000,-3.0400,1.7358
30584.0000,68.0000,-832.2000,284.0000,-20.9000,0.0000,55.1000,-3.0400,1.7358
31585.0000,69.0000,-871.5000,1001.0000,-39.3000,0.9000,55.1000,-3.0400,1.7358
32297.0000,70.0000,-819.1000,712.0000,52.4000,85.1000,55.1000,18.8000,35.2110
32912.0000,71.0000,-791.6000,615.0000,27.5000,57.5000,55.1000,18.8000,35.2110
33913.0000,72.0000,-847.1000,1001.0000,-55.5000,11.7000,55.1000,18.8000,35.2110
34510.0000,73.0000,-848.2000,597.0000,-1.1000,27.4000,55.1000,18.8000,35.2110
34963.0000,74.0000,-873.0000,453.0000,-24.8000,0.0000,55.1000,18.8000,35.2110
35826.0000,75.0000,-844.3000,863.0000,28.7000,65.1000,55.1000,18.8000,35.2110
36059.0000,76.0000,-834.6000,233.0000,9.7000,22.2000,55.1000,18.8000,35.2110
37060.0000,77.0000,-848.1000,1001.0000,-13.5000,54.4000,55.1000,18.8000,35.2110
38061.0000,78.0000,-913.7000,1001.0000,-65.6000,0.0000,55.1000,18.8000,35.2110
39062.0000,79.0000,-982.4000,1001.0000,-68.7000,0.0000,55.1000,18.8000,35.2110
40063.0000,80.0000,-850.1000,1001.0000,132.3000,168.0000,132.3000,21.1200,7.4214
41064.0000,81.0000,-798.6000,1001.0000,51.5000,89.1000,132.3000,21.1200,7.4214
41647.0000,82.0000,-645.0000,583.0000,153.6000,178.3000,153.6000,21.1200,7.4214
42290.0000,83.0000,-587.5000,643.0000,57.5000,87.0000,153.6000,21.1200,7.4214
