steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
422.0000,0.0000,-15.4000,422.0000,-15.4000,0.0000,-15.4000,0.0000,0.0000
551.0000,1.0000,-23.5000,129.0000,-8.1000,0.0000,-8.1000,0.0000,0.0000
694.0000,2.0000,-28.0000,143.0000,-4.5000,0.0000,-4.5000,0.0000,0.0000
1219.0000,3.0000,-59.4000,525.0000,-31.4000,0.0000,-4.5000,0.0000,0.0000
1666.0000,4.0000,-81.4000,447.0000,-22.0000,0.0000,-4.5000,0.0000,0.0000
2441.0000,5.0000,-88.0000,775.0000,-6.6000,34.8000,-4.5000,0.0000,0.0000
2585.0000,6.0000,-96.7000,144.0000,-8.7000,0.0000,-4.5000,0.0000,0.0000
2689.0000,7.0000,-105.1000,104.0000,-8.4000,0.0000,-4.5000,0.0000,0.0000
2811.0000,8.0000,-112.1000,122.0000,-7.0000,0.0000,-4.5000,0.0000,0.0000
3048.0000,9.0000,-124.9000,237.0000,-12.8000,0.0000,-4.5000,0.0000,0.0000
3670.0000,10.0000,-152.7000,622.0000,-27.8000,7.6000,-4.5000,-4.1600,0.1324
3786.0000,11.0000,-159.5000,116.0000,-6.8000,0.0000,-4.5000,-4.1600,0.1324
3900.0000,12.0000,-165.4000,114.0000,-5.9000,0.0000,-4.5000,-4.1600,0.1324
4010.0000,13.0000,-172.5000,110.0000,-7.1000,0.0000,-4.5000,-4.1600,0.1324
4142.0000,14.0000,-180.5000,132.0000,-8.0000,0.0000,-4.5000,-4.1600,0.1324
4254.0000,15.0000,-188.6000,112.0000,-8.1000,0.0000,-4.5000,-4.1600,0.1324
4425.0000,16.0000,-197.1000,171.0000,-8.5000,0.0000,-4.5000,-4.1600,0.1324
5185.0000,17.0000,-223.8000,760.0000,-26.7000,8.2000,-4.5000,-4.1600,0.1324
5611.0000,18.0000,-228.5000,426.0000,-4.7000,14.5000,-4.5000,-4.1600,0.1324
6311.0000,19.0000,-240.3000,700.0000,-11.8000,19.2000,-4.5000,-4.1600,0.1324
6730.0000,20.0000,-247.1000,419.0000,-6.8000,13.8000,-4.5000,-0.0300,0.0340
7731.0000,21.0000,-115.6000,1001.0000,131.5000,165.3000,131.5000,-0.0300,0.0340
8476.0000,22.0000,-135.2000,745.0000,-19.6000,16.0000,131.5000,-0.0300,0.0340
9477.0000,23.0000,-159.7000,1001.0000,-24.5000,29.8000,131.5000,-0.0300,0.0340
10478.0000,24.0000,-173.9000,1001.0000,-14.2000,34.9000,131.5000,-0.0300,0.0340
