steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
406.0000,0.0000,-26.2000,406.0000,-26.2000,0.0000,-26.2000,-10.9600,0.0894
532.0000,1.0000,-36.6000,126.0000,-10.4000,0.0000,-10.4000,-10.9600,0.0894
861.0000,2.0000,-43.1000,329.0000,-6.5000,0.0000,-6.5000,-10.9600,0.0894
1023.0000,3.0000,-49.5000,162.0000,-6.4000,0.0000,-6.4000,-10.9600,0.0894
1253.0000,4.0000,-66.0000,230.0000,-16.5000,0.0000,-6.4000,-10.9600,0.0894
1448.0000,5.0000,-78.5000,195.0000,-12.5000,0.0000,-6.4000,-10.9600,0.0894
1594.0000,6.0000,-88.9000,146.0000,-10.4000,0.0000,-6.4000,-10.9600,0.0894
1776.0000,7.0000,-94.8000,182.0000,-5.9000,0.0000,-5.9000,-10.9600,0.0894
1960.0000,8.0000,-111.8000,184.0000,-17.0000,0.0000,-5.9000,-10.9600,0.0894
2197.0000,9.0000,-119.9000,237.0000,-8.1000,0.0000,-5.9000,-10.9600,0.0894
2310.0000,10.0000,-126.3000,113.0000,-6.4000,0.0000,-5.9000,-5.8400,0.0548
2397.0000,11.0000,-132.5000,87.0000,-6.2000,0.0000,-5.9000,-5.8400,0.0548
2487.0000,12.0000,-141.5000,90.0000,-9.0000,0.0000,-5.9000,-5.8400,0.0548
2712.0000,13.0000,-147.0000,225.0000,-5.5000,0.0000,-5.5000,-5.8400,0.0548
2956.0000,14.0000,-153.5000,244.0000,-6.5000,0.0000,-5.5000,-5.8400,0.0548
3070.0000,15.0000,-160.2000,114.0000,-6.7000,0.0000,-5.5000,-5.8400,0.0548
3172.0000,16.0000,-166.6000,102.0000,-6.4000,0.0000,-5.5000,-5.8400,0.0548
3277.0000,17.0000,-173.0000,105.0000,-6.4000,0.0000,-5.5000,-5.8400,0.0548
3385.0000,18.0000,-182.2000,108.0000,-9.2000,0.0000,-5.5000,-5.8400,0.0548
3809.0000,19.0000,-204.3000,424.0000,-22.1000,0.0000,-5.5000,-5.8400,0.0548
4016.0000,20.0000,-220.2000,207.0000,-15.9000,0.0000,-5.5000,-15.6600,11.5153
4784.0000,21.0000,-244.2000,768.0000,-24.0000,0.0000,-5.5000,-15.6600,11.5153
4888.0000,22.0000,-252.4000,104.0000,-8.2000,0.0000,-5.5000,-15.6600,11.5153
5489.0000,23.0000,-256.6000,601.0000,-4.2000,0.0000,-4.2000,-15.6600,11.5153
5630.0000,24.0000,-265.9000,141.0000,-9.3000,0.0000,-4.2000,-15.6600,11.5153
6005.0000,25.0000,-291.8000,375.0000,-25.9000,0.0000,-4.2000,-15.6600,11.5153
6817.0000,26.0000,-294.2000,812.0000,-2.4000,0.0000,-2.4000,-15.6600,11.5153
6996.0000,27.0000,-306.0000,179.0000,-11.8000,0.0000,-2.4000,-15.6600,11.5153
7718.0000,28.0000,-331.6000,722.0000,-25.6000,0.0000,-2.4000,-15.6600,11.5153
7952.0000,29.0000,-352.5000,234.0000,-20.9000,0.0000,-2.4000,-15.6600,11.5153
8138.0000,30.0000,-356.2000,186.0000,-3.7000,0.0000,-2.4000,-14.8000,0.5916
8366.0000,31.0000,-365.3000,228.0000,-9.1000,0.0000,-2.4000,-14.8000,0.5916
9156.0000,32.0000,-437.9000,790.0000,-72.6000,0.0000,-2.4000,-14.8000,0.5916
9577.0000,33.0000,-467.3000,421.0000,-29.4000,0.0000,-2.4000,-14.8000,0.5916
9972.0000,34.0000,-503.2000,395.0000,-35.9000,0.0000,-2.4000,-14.8000,0.5916
10222.0000,35.0000,-521.0000,250.0000,-17.8000,0.0000,-2.4000,-14.8000,0.5916
10793.0000,36.0000,-534.2000,571.0000,-13.2000,15.0000,-2.4000,-14.8000,0.5916
11772.0000,37.0000,-593.2000,979.0000,-59.0000,0.0000,-2.4000,-14.8000,0.5916
11912.0000,38.0000,-601.2000,140.0000,-8.0000,0.0000,-2.4000,-14.8000,0.5916
12187.0000,39.0000,-576.0000,275.0000,25.2000,42.1000,25.2000,-14.8000,0.5916
12451.0000,40.0000,-592.3000,264.0000,-16.3000,2.7000,25.2000,-11.4200,0.0447
