steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.007,10,-0.007,1,0.0
20,2,-0.013000000000000005,10,-0.006,2,0.0
30,3,-0.016000000000000007,10,-0.003,3,0.0
40,4,-0.01900000000000001,10,-0.003,4,0.0
50,5,-0.023000000000000013,10,-0.004,5,0.0
60,6,-0.02900000000000002,10,-0.006,6,0.0
70,7,-0.03200000000000002,10,-0.003,7,0.0
80,8,-0.035000000000000024,10,-0.003,8,0.0
90,9,-0.04100000000000003,10,-0.006,9,0.0
100,10,-0.04400000000000003,10,-0.003,10,0.0
120,12,-0.057000000000000044,10,-0.008,12,0.0
140,14,-0.06600000000000004,10,-0.005,14,0.0
170,17,-0.08200000000000006,10,-0.006,17,0.0
200,20,-0.09800000000000007,10,-0.005,20,0.0
250,25,-0.1230000000000001,10,-0.006,25,0.0
300,30,-0.1470000000000001,10,-0.001,30,0.0
400,40,-0.20100000000000015,10,-0.004,40,0.0
500,50,-0.2490000000000002,10,-0.005,50,0.0
600,60,-0.2970000000000002,10,-0.004,60,0.0
700,70,-0.34200000000000025,10,-0.005,70,0.0
800,80,-0.3920000000000003,10,-0.007,80,0.0
900,90,-0.44200000000000034,10,-0.005,90,0.0
1000,100,-0.4930000000000004,10,-0.004,100,0.0
1200,120,-0.5920000000000004,10,-0.004,120,0.0
1400,140,-0.6900000000000005,10,-0.005,140,0.0
1700,170,-0.8470000000000006,10,-0.006,170,0.0
2000,200,-0.9890000000000008,10,-0.007,200,0.0
2500,250,-1.2209999999999763,10,-0.006,250,0.0
3000,300,-1.4829999999999475,10,-0.004,300,0.0
4000,400,-1.9809999999998926,10,-0.006,400,0.0
5000,500,-2.4459999999998416,10,-0.003,500,0.0
6000,600,-2.9719999999997837,10,-0.008,600,0.0
7000,700,-3.466999999999729,10,-0.006,700,0.0
8000,800,-3.9619999999996747,10,-0.004,800,0.0
9000,900,-4.457999999999823,10,-0.005,900,0.0
10000,1000,-3.966999999999879,10,-0.005,999,1.0
12000,1200,-2.9830000000000356,10,-0.002,1197,3.0
14000,1400,-4.002999999999925,10,-0.004,1397,3.0
17000,1700,-4.489000000000052,10,-0.004,1696,4.0
20000,2000,-5.985000000000552,10,-0.002,1996,4.0
25000,2500,-8.463000000000967,10,-0.002,2496,4.0
30000,3000,-11.010999999999555,10,-0.006,2996,4.0
40000,4000,-15.051999999996761,10,-0.003,3995,5.0
50000,5000,-20.002000000001125,10,-0.004,4995,5.0
60000,6000,-23.99600000000723,10,-0.006,5994,6.0
70000,7000,-28.92400000001325,10,-0.005,6994,6.0
80000,8000,-32.85100000001625,10,-0.004,7993,7.0
90000,9000,-37.77200000000478,10,-0.007,8993,7.0
100000,10000,-38.7839999999931,10,-0.006,9989,11.0
