steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
50,1,49.30682503046622,50,49.30682503046622,49.0,49.0
189,2,188.56361841704123,139,139.25679338657503,187.0,138.0
282,3,280.3915624111172,93,91.82794399407585,279.0,138.0
323,4,320.71123521458907,41,40.31967280347191,319.0,138.0
381,5,376.7345850347253,58,56.02334982013613,376.0,138.0
451,6,445.7128876241721,70,68.97830258944694,445.0,138.0
508,7,500.6553706987427,57,54.94248307457066,501.0,138.0
570,8,563.1687087006807,62,62.513338001937925,562.0,138.0
622,9,613.9794198230562,52,50.81071112237567,613.0,138.0
672,10,662.6633701234634,50,48.6839503004068,662.0,138.0
801,12,791.6726956103456,67,66.09745673880066,789.0,138.0
958,14,947.0069999044678,97,96.26199766084153,944.0,138.0
1192,17,1178.6935596301944,104,104.16416471614328,1175.0,138.0
1402,20,1386.660275645967,59,58.02998297388206,1382.0,138.0
1834,25,1810.1160791554498,57,55.78428781570103,1809.0,164.0
2206,30,2175.2352296147405,94,92.44345030287705,2176.0,164.0
2916,40,2874.188042584644,59,57.714872387953406,2876.0,164.0
3552,50,3499.0124214037105,42,40.34081543314375,3502.0,164.0
4181,60,4121.4474964546,36,35.40393176915684,4121.0,164.0
4606,70,4534.396802322266,36,34.624586197292615,4536.0,164.0
5022,80,4941.068863721981,42,41.24680535209701,4942.0,164.0
5421,90,5331.061089879588,42,42.01613816566955,5331.0,164.0
5810,100,5704.749042659875,39,37.68101026962114,5710.0,164.0
6544,120,6417.643103819262,34,33.243414876849336,6424.0,164.0
7245,140,7100.370119476441,33,31.241290526279407,7105.0,164.0
8252,170,8079.456510074638,34,33.3862413940962,8082.0,164.0
9203,200,8995.871283591285,33,31.885407550056236,9003.0,164.0
10797,250,10541.415283972698,32,31.66491164074511,10547.0,164.0
12388,300,12085.204648290604,29,28.065936725008708,12088.0,164.0
15534,400,15130.428639101092,34,32.58686953280154,15134.0,164.0
18637,500,18134.547553268767,30,28.728616675493548,18137.0,164.0
21754,600,21147.63513441615,31,30.051418947254913,21154.0,164.0
24841,700,24126.521773171353,29,28.206441095366145,24141.0,164.0
27947,800,27139.141112662175,34,32.76894195520481,27147.0,164.0
31083,900,30183.160295131598,30,29.637407288813133,30183.0,164.0
34183,1000,33186.42144817841,30,29.32451433913425,33183.0,164.0
