steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
72,1,72.87774783282312,72,72.87774783282312,71.0,71.0
188,2,187.4104157844152,116,114.5326679515921,186.0,115.0
231,3,230.20285787980959,43,42.79244209539438,228.0,115.0
340,4,338.3465250683237,109,108.14366718851426,336.0,115.0
404,5,401.8547591421674,64,63.50823407384388,399.0,115.0
475,6,472.41116083162785,71,70.55640168946057,469.0,115.0
529,7,526.5229684087624,54,54.11180757713461,522.0,115.0
575,8,571.7010961375072,46,45.178127728744926,567.0,115.0
657,9,652.273007539834,82,80.57191140232693,648.0,115.0
750,10,746.1767695061423,93,93.90376196630834,740.0,115.0
918,12,913.0261806119488,120,119.47651052099681,906.0,119.0
1033,14,1027.0235421136065,53,52.16323751612789,1019.0,119.0
1214,17,1204.745514208858,60,59.37645141791037,1197.0,119.0
1412,20,1397.5593182414195,56,54.35442136734687,1392.0,119.0
1868,25,1845.6460618904073,92,89.04069516818858,1843.0,148.0
2189,30,2161.324343013988,60,59.05444699602643,2159.0,148.0
2906,40,2863.5960288672554,117,117.01804559062862,2866.0,148.0
3588,50,3538.695618593655,98,97.09056961798838,3538.0,148.0
4051,60,3992.255232650003,53,51.88414319987273,3991.0,148.0
4571,70,4505.068327348486,56,55.60913333159517,4501.0,148.0
5016,80,4940.437360478721,36,35.269540707355425,4936.0,148.0
5443,90,5354.860075816888,48,46.9463361288446,5353.0,148.0
5838,100,5739.48487798139,34,32.36969952131882,5738.0,148.0
6571,120,6453.475683074781,32,31.095056891987657,6451.0,148.0
7243,140,7106.9648074252245,39,39.07562478365516,7103.0,148.0
8267,170,8101.271941670536,33,31.56173528789196,8097.0,148.0
9250,200,9054.465756416665,35,34.080295594801576,9050.0,148.0
10865,250,10616.614687957284,33,31.889151293400882,10615.0,148.0
12438,300,12136.50289402517,29,28.227627010178985,12138.0,148.0
15569,400,15169.180488621505,28,27.22437483187819,15169.0,148.0
18672,500,18162.06715908086,29,28.216648462408692,18172.0,148.0
21783,600,21180.860275248207,28,26.826839929533737,21183.0,148.0
24903,700,24204.963956835203,33,32.00210817096787,24203.0,148.0
27978,800,27181.45841277484,31,30.091510640936747,27178.0,148.0
31094,900,30193.44719381709,32,31.18151273048656,30194.0,148.0
34197,1000,33191.91910043006,31,30.225300244397303,33197.0,148.0
