steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
31,1,30.42976704812021,31,30.42976704812021,30.0,30.0
65,2,63.0519753399514,34,32.62220829183117,63.0,33.0
96,3,93.52913501748077,31,30.477159677529347,93.0,33.0
125,4,121.49618498680265,29,27.967049969321888,121.0,33.0
158,5,153.05955342829577,33,31.5633684414932,153.0,33.0
189,6,183.41279722957785,31,30.35324380128218,183.0,33.0
221,7,213.2202117812886,32,29.807414551710725,214.0,33.0
255,8,247.04629120064934,34,33.82607941936071,247.0,33.0
285,9,275.7474899744918,30,28.701198773842457,276.0,33.0
314,10,303.45013563648325,29,27.70264566199155,304.0,33.0
378,12,365.06339222716264,31,29.640601341520615,366.0,33.0
438,14,421.91829850623384,28,26.71780139777488,424.0,33.0
530,17,510.27119793787216,31,29.642036533263227,513.0,33.0
622,20,598.8347940815709,30,28.463164220081413,602.0,33.0
770,25,744.427759731519,29,29.04493653197513,745.0,33.0
919,30,885.9521272082474,30,28.650747891920577,889.0,33.0
1225,40,1183.978715960886,33,31.727151228239403,1185.0,33.0
1533,50,1483.4356979428417,29,28.444364034293542,1483.0,33.0
1837,60,1781.071225338157,29,28.188604145652864,1777.0,33.0
2153,70,2087.755779217374,31,30.11090970890079,2083.0,33.0
2459,80,2387.01208809955,29,27.964159668491472,2379.0,33.0
2767,90,2683.281234668023,30,29.440309124415254,2677.0,33.0
3082,100,2987.157320475267,32,31.054468565373266,2982.0,33.0
3729,120,3617.9504594715627,32,31.36458617437513,3609.0,36.0
4378,140,4248.520816648498,33,32.077644098840274,4238.0,36.0
5351,170,5188.222415705871,32,30.75721690248712,5181.0,37.0
6390,200,6201.017646844492,35,33.61125193082555,6190.0,38.0
8281,250,8036.922418276262,43,41.45276388898427,8031.0,42.0
10327,300,10034.081109867906,41,40.77731736645535,10027.0,45.0
13790,400,13391.519331445015,31,30.30599815664855,13390.0,45.0
17522,500,17038.79178851975,44,43.67132723623141,17022.0,45.0
26173,600,25583.49684724975,74,73.15936242585936,25573.0,257.0
30381,700,29692.919141499893,29,26.985578921782118,29681.0,257.0
33407,800,32617.000134436534,30,28.51187090466309,32607.0,257.0
36441,900,35548.31803270792,30,29.756545286391294,35541.0,257.0
39492,1000,38489.76657819837,31,28.866693071377718,38492.0,257.0
