steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
31,1,30.742241230571047,31,30.742241230571047,30.0,30.0
64,2,63.092790692500614,33,32.350549461929575,62.0,32.0
93,3,90.86013848960152,29,27.76734779710093,90.0,32.0
121,4,117.54431358567071,28,26.68417509606918,117.0,32.0
152,5,147.73439789802455,31,30.190084312353868,147.0,32.0
185,6,180.85204252504525,33,33.1176446270207,179.0,32.0
216,7,210.6936361649378,31,29.84159363989257,209.0,32.0
246,8,239.21628315359038,30,28.522646988652504,238.0,32.0
276,9,268.63821359346997,30,29.421930439879446,267.0,32.0
305,10,295.6945916319887,29,27.056378038518574,295.0,32.0
366,12,352.89629969895407,29,27.822076877021402,354.0,32.0
427,14,412.02309999242175,29,28.233716387784252,413.0,32.0
514,17,495.6363774379453,29,27.825236994827304,497.0,32.0
608,20,586.2563514074926,35,33.83943826385284,588.0,34.0
762,25,735.4875614359287,32,31.088298556625933,737.0,34.0
914,30,882.5113524335743,29,28.07622559188177,884.0,34.0
1224,40,1181.0927316103362,34,33.09322551775114,1184.0,34.0
1536,50,1483.492119709415,30,29.20416977949557,1486.0,34.0
1843,60,1782.263123386392,31,30.049171084434438,1783.0,34.0
2162,70,2090.4752273263384,33,32.50268773120707,2092.0,34.0
2476,80,2395.7946847971866,30,29.563108658249888,2396.0,34.0
2795,90,2705.905151449433,29,28.016829686492645,2705.0,34.0
3109,100,3005.3639731204325,32,30.844869688709153,3009.0,34.0
3752,120,3629.4759969774545,30,29.194106447167265,3632.0,35.0
4392,140,4250.184999971869,34,33.3249581650681,4252.0,35.0
5376,170,5206.243387707734,32,31.49101890252435,5206.0,35.0
6417,200,6219.007776788992,33,32.28038362799887,6217.0,39.0
8212,250,7960.9387279520715,40,38.796098809619146,7962.0,41.0
10274,300,9975.0025036841,44,42.978379031011315,9974.0,46.0
13776,400,13382.71982151908,35,33.61699034167855,13376.0,46.0
17661,500,17171.03187520646,51,51.14699936629678,17161.0,51.0
26520,600,25915.710826252795,66,67.19148594934468,25920.0,246.0
30689,700,29971.139337039505,32,31.038015707776427,29989.0,246.0
33723,800,32905.852470641155,30,29.386595536808485,32923.0,246.0
36765,900,35854.01922629376,31,29.67110308074544,35865.0,246.0
39806,1000,38805.62680568479,31,30.47994525691264,38806.0,246.0
