steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
12,1,-0.004166666666666667,12,-0.004166666666666667,1,0
24,2,-0.008333333333333333,12,-0.004166666666666667,2,0
36,3,-0.013333333333333334,12,-0.005,3,0
48,4,-0.01833333333333333,12,-0.005,4,0
60,5,-0.024166666666666652,12,-0.005833333333333334,5,0
72,6,-0.030833333333333306,12,-0.006666666666666667,6,0
84,7,-0.03416666666666664,12,-0.0033333333333333335,7,0
96,8,-0.03916666666666663,12,-0.005,8,0
108,9,-0.04416666666666662,12,-0.005,9,0
120,10,-0.047499999999999945,12,-0.0033333333333333335,10,0
144,12,-0.05583333333333326,12,-0.004166666666666667,12,0
168,14,-0.06333333333333326,12,-0.0033333333333333335,14,0
204,17,-0.07916666666666669,12,-0.006666666666666667,17,0
240,20,-0.09583333333333346,12,-0.006666666666666667,20,0
300,25,-0.12333333333333364,12,-0.005833333333333334,25,0
360,30,-0.15666666666666665,12,-0.006666666666666667,30,0
480,40,-0.20749999999999946,12,-0.005833333333333334,40,0
600,50,-0.26666666666666605,12,-0.005,50,0
720,60,-0.3225000000000007,12,-0.005833333333333334,60,0
840,70,-0.37000000000000177,12,-0.005833333333333334,70,0
960,80,-0.42833333333333645,12,-0.006666666666666667,80,0
1080,90,-0.4858333333333378,12,-0.0008333333333333334,90,0
1200,100,-0.5325000000000055,12,-0.006666666666666667,100,0
1440,120,-0.6450000000000081,12,-0.005,120,0
1680,140,-0.7625000000000108,12,-0.007500000000000001,140,0
2040,170,-0.9133333333333477,12,-0.007500000000000001,170,0
2400,200,-1.0791666666666742,12,-0.0025,200,0
3000,250,-1.2208333333333252,12,-0.0033333333333333335,250,0
3600,300,-1.41999999999997,12,-0.004166666666666667,300,0
4800,400,-1.8349999999999242,12,-0.0016666666666666668,400,0
6000,500,-2.257499999999946,12,-0.004166666666666667,500,0
7200,600,-2.717500000000018,12,-0.004166666666666667,600,0
8400,700,-3.140000000000084,12,-0.0033333333333333335,700,0
9600,800,-3.607500000000157,12,-0.004166666666666667,800,0
10800,900,-4.044166666666892,12,-0.004166666666666667,900,0
12000,1000,-4.518333333333633,12,-0.006666666666666667,1000,0
14400,1200,-5.389166666667102,12,-0.0025,1200,0
16800,1400,-6.215000000000565,12,-0.005833333333333334,1400,0
20400,1700,-7.437500000000756,12,-0.004166666666666667,1700,0
24000,2000,-8.595833333333635,12,-0.005,2000,0
30000,2500,-10.447499999998618,12,-0.0025,2500,0
36000,3000,-12.264166666663632,12,-0.0008333333333333334,3000,0
48000,4000,-15.802499999993747,12,-0.005833333333333334,4000,0
60000,5000,-19.0808333333241,12,-0.005,5000,0
72000,6000,-22.405833333321077,12,-0.0033333333333333335,6000,0
84000,7000,-25.7141666666514,12,-0.0008333333333333334,7000,0
96000,8000,-28.879166666648523,12,-0.004166666666666667,8000,0
108000,9000,-32.03916666664565,12,0.0,9000,0
120000,10000,-35.186666666642786,12,-0.0025,10000,0
