steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
67,1,67.67787875366474,67,67.67787875366474,66.0,66.0
136,2,136.47327747659185,69,68.7953987229271,134.0,68.0
167,3,166.05833457036772,31,29.5850570937759,164.0,68.0
200,4,197.29382511018088,33,31.235490539813075,196.0,68.0
230,5,226.1671554286667,30,28.873330318485877,225.0,68.0
288,6,282.9873100798515,58,56.820154651184886,282.0,68.0
317,7,311.4369408386876,29,28.449630758836047,310.0,68.0
346,8,339.2835332248157,29,27.846592386128137,338.0,68.0
484,9,477.5664072083786,138,138.2828739835626,475.0,137.0
542,10,533.615950765631,58,56.049543557252534,532.0,137.0
846,12,836.3524723406115,223,222.78544232910315,834.0,222.0
1394,14,1380.3191362179423,31,30.08682671161354,1380.0,516.0
1716,17,1696.8714140322281,147,145.79276375394053,1699.0,516.0
1953,20,1933.1075249239168,148,148.57103368543181,1933.0,516.0
2378,25,2350.869832726916,208,205.98604508447258,2353.0,516.0
3356,30,3321.8417091811984,252,250.79050336447617,3326.0,516.0
6331,40,6282.148060360838,1001,997.5835664480304,6292.0,1001.0
9283,50,9221.374845689434,1001,1000.8851398014664,9236.0,1001.0
14120,60,14043.146335731439,862,860.10246447497,14063.0,1001.0
17040,70,16944.68801975733,302,298.5920775177151,16973.0,1001.0
20831,80,20733.601887198856,1001,996.381459917887,20755.0,1001.0
25251,90,25141.159354089785,1001,1000.1936799827313,25167.0,1001.0
30308,100,30193.617322463542,1001,1002.528377091239,30218.0,1001.0
38075,120,37943.83222898388,1001,997.607280954178,37970.0,1001.0
43182,140,43025.255691854465,216,213.76440238563256,43058.0,1001.0
51249,170,51060.9443036802,28,27.01370809548036,51098.0,1001.0
63243,200,63038.21453910827,1001,1000.7633652679575,63069.0,1001.0
77740,250,77500.36030106278,833,831.1699803140655,77520.0,1001.0
93785,300,93477.66754387411,215,212.9814898339301,93520.0,1001.0
128172,400,127775.48123912276,73,70.95638499105135,127820.0,1001.0
160751,500,160254.45364172946,268,267.33071998694686,160307.0,1001.0
194016,600,193393.18932414197,400,398.75844390294424,193481.0,1001.0
231650,700,230961.7816882898,190,192.17700311901376,231027.0,1001.0
263197,800,262404.34025308164,90,90.66906533961547,262484.0,1001.0
292260,900,291363.7898039979,365,362.8863315891729,291455.0,1001.0
326368,1000,325377.6984666385,222,220.405719394757,325471.0,1001.0
