steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
82,1,81.65865183748537,82,81.65865183748537,81.0,81.0
174,2,171.75061160975622,92,90.09195977227091,172.0,91.0
205,3,201.87324646846693,31,30.122634858710686,202.0,91.0
276,4,272.7759948049823,71,70.90274833651539,272.0,91.0
306,5,302.1596061348507,30,29.383611329868312,301.0,91.0
431,6,427.48631010593283,125,125.32670397108198,425.0,124.0
463,7,457.88635447163,32,30.400044365697088,456.0,124.0
569,8,564.323545467075,106,106.43719099544478,561.0,124.0
599,9,593.4554825174913,30,29.131937050416205,590.0,124.0
635,10,628.8699456140429,36,35.414463096551415,625.0,124.0
745,12,736.7151698584088,61,58.63754576973258,733.0,124.0
977,14,968.6784173921488,65,64.1422187956346,963.0,166.0
1252,17,1241.661026783331,50,49.12134989633569,1235.0,166.0
1610,20,1595.347887022115,180,177.62276862110915,1590.0,179.0
2465,25,2446.0506573146104,264,262.59360259609537,2440.0,263.0
3762,30,3738.3179204994562,214,212.50200107725925,3732.0,572.0
8752,40,8726.460126487826,531,529.38774143916,8715.0,1001.0
13999,50,13981.90198101644,285,287.48106891906326,13955.0,1001.0
17828,60,17809.454989948663,856,855.4737520774668,17775.0,1001.0
22364,70,22325.72270530427,466,465.27906201648096,22302.0,1001.0
25629,80,25579.75310152928,325,323.4863488981828,25558.0,1001.0
29670,90,29611.00197330603,477,478.2139221442849,29591.0,1001.0
37030,100,36958.52640813094,1001,998.7831273449527,36947.0,1001.0
44912,120,44828.31165240539,1001,1004.8682687197954,44814.0,1001.0
51981,140,51876.422555741075,31,29.923395973656707,51866.0,1001.0
63741,170,63610.269867532406,1001,1007.3995352317783,63601.0,1001.0
75004,200,74838.80143257532,30,28.806424450660206,74838.0,1001.0
96369,250,96171.46119532193,70,69.97426662071041,96163.0,1001.0
113055,300,112817.05491242225,29,27.846939955215053,112805.0,1001.0
141377,400,141061.68573144387,562,559.3008851626118,141030.0,1001.0
176744,500,176348.4314765952,356,352.03728847654196,176310.0,1001.0
208600,600,208116.8848236164,213,213.5109983838272,208079.0,1001.0
234245,700,233648.23256058316,65,63.526594206584384,233627.0,1001.0
264599,800,263887.6323286922,789,789.5136441100874,263889.0,1001.0
295552,900,294727.0349768438,186,182.96053823406004,294748.0,1001.0
330199,1000,329284.38105994253,175,170.91481091813043,329304.0,1001.0
