steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
33,1,32.36999860051986,33,32.36999860051986,32.0,32.0
64,2,62.50989760272526,31,30.139899002205393,62.0,32.0
94,3,91.59833611161164,30,29.088438508886377,91.0,32.0
124,4,120.93530357921416,30,29.33696746760253,120.0,32.0
155,5,150.66414415239177,31,29.72884057317761,150.0,32.0
186,6,181.0921920158535,31,30.428047863461657,180.0,32.0
215,7,209.24722905668258,29,28.15503704082908,208.0,32.0
246,8,239.2607622485284,31,30.0135331918458,238.0,32.0
276,9,266.65782421807677,30,27.39706196954833,267.0,32.0
305,10,293.50159762071974,29,26.843773402643045,295.0,32.0
370,12,356.38681354823285,32,30.801716781433072,358.0,32.0
433,14,416.7196502173974,31,29.694748265821808,419.0,32.0
529,17,507.3175310402535,32,30.81266916444164,512.0,32.0
624,20,600.0428886402543,32,32.16277850190269,604.0,32.0
892,25,860.580406100846,92,90.22227550622479,867.0,91.0
1322,30,1288.9884991133688,32,31.625149293209866,1292.0,180.0
2070,40,2029.7708378452025,114,113.37039492949103,2030.0,180.0
3176,50,3126.5417929337386,156,155.47827912929665,3126.0,180.0
5201,60,5145.836688028859,199,198.98704859244384,5141.0,326.0
7443,70,7377.360394605062,235,234.3059144873386,7373.0,326.0
9967,80,9892.154923147767,296,295.2964707237191,9887.0,326.0
12750,90,12675.369107650682,260,260.38856396159235,12660.0,326.0
15349,100,15262.359932803485,318,313.7793390913517,15249.0,326.0
21790,120,21695.80394134102,307,308.9656887174111,21670.0,736.0
32160,140,32041.74866140123,1001,1000.4399151620461,32024.0,1001.0
58710,170,58554.32164420833,1001,999.183432111513,58569.0,1001.0
73593,200,73417.74196449545,1001,998.6432815689825,73435.0,1001.0
110143,250,109955.44997207262,1001,1005.747167705825,109962.0,1001.0
137504,300,137301.1091863783,1001,995.9951571285886,137286.0,1001.0
198485,400,198188.3325763161,1001,996.7484807445361,198199.0,1001.0
285980,500,285659.93658804515,485,484.5556174925479,285670.0,1001.0
349344,600,349021.91589852876,37,36.951694712544594,348982.0,1001.0
373652,700,373219.2253006879,183,181.47995199530362,373191.0,1001.0
432573,800,432082.7545806661,1001,999.9889394514481,432034.0,1001.0
502650,900,502154.44023142033,31,29.75721057632388,502063.0,1001.0
554067,1000,553531.0920819031,1001,999.9795072253648,553398.0,1001.0
