steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.004,10,-0.004,1,0
20,2,-0.008,10,-0.004,2,0
30,3,-0.012000000000000004,10,-0.004,3,0
40,4,-0.017000000000000008,10,-0.005,4,0
50,5,-0.02000000000000001,10,-0.003,5,0
60,6,-0.024000000000000014,10,-0.004,6,0
70,7,-0.028000000000000018,10,-0.004,7,0
80,8,-0.03200000000000002,10,-0.004,8,0
90,9,-0.036000000000000025,10,-0.004,9,0
100,10,-0.04100000000000003,10,-0.005,10,0
120,12,-0.04900000000000004,10,-0.004,12,0
140,14,-0.060000000000000046,10,-0.004,14,0
170,17,-0.07100000000000005,10,-0.003,17,0
200,20,-0.08200000000000006,10,-0.005,20,0
250,25,-0.10700000000000008,10,-0.004,25,0
300,30,-0.12500000000000008,10,-0.003,30,0
400,40,-0.17000000000000012,10,-0.003,40,0
500,50,-0.22000000000000017,10,-0.004,50,0
600,60,-0.2590000000000002,10,-0.005,60,0
700,70,-0.2790000000000002,10,-0.001,70,0
800,80,-0.2880000000000002,10,0.0,80,0
900,90,-0.2970000000000002,10,-0.001,90,0
1000,100,-0.3170000000000002,10,-0.002,100,0
1200,120,-0.34800000000000025,10,-0.003,120,0
1400,140,-0.4050000000000003,10,-0.002,140,0
1700,170,-0.47800000000000037,10,-0.005,170,0
2000,200,-0.5700000000000004,10,-0.001,200,0
2500,250,-0.6830000000000005,10,0.0,250,0
3000,300,-0.7280000000000005,10,0.0,300,0
4000,400,-0.9200000000000007,10,-0.001,400,0
5000,500,-1.09699999999999,10,0.0,500,0
6000,600,-1.133999999999986,10,-0.001,600,0
7000,700,-1.2069999999999779,10,0.0,700,0
8000,800,-1.268999999999971,10,0.0,800,0
9000,900,-1.3259999999999648,10,-0.004,900,0
10000,1000,-1.3759999999999593,10,-0.003,1000,0
12000,1200,-1.4949999999999461,10,0.0,1200,0
14000,1400,-1.7159999999999218,10,-0.002,1400,0
17000,1700,-2.2659999999998615,10,-0.001,1700,0
20000,2000,-2.5939999999998253,10,0.0,2000,0
25000,2500,-2.8359999999997987,10,-0.001,2500,0
30000,3000,-3.0539999999997747,10,0.0,3000,0
40000,4000,-3.5799999999997167,10,0.0,4000,0
50000,5000,-4.085999999999699,10,0.0,5000,0
60000,6000,-4.522999999999845,10,0.0,6000,0
70000,7000,-4.952999999999989,10,0.0,7000,0
80000,8000,-5.359000000000124,10,0.0,8000,0
90000,9000,-5.808000000000274,10,0.0,9000,0
100000,10000,-6.27500000000043,10,0.0,10000,0
