steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,32.71353053225252,34,32.71353053225252,33.0,33.0
67,2,64.23451689765503,33,31.520986365402475,65.0,33.0
96,3,92.22645925492573,29,27.99194235727071,93.0,33.0
125,4,121.2237102835854,29,28.997251028659672,121.0,33.0
157,5,151.63521111135813,32,30.41150082777277,152.0,33.0
187,6,180.64593772328695,30,29.01072661192884,181.0,33.0
215,7,207.823164586775,28,27.177226863488027,208.0,33.0
245,8,236.87020356810905,30,29.047038981334126,237.0,33.0
277,9,268.37809324400627,32,31.50788967589728,268.0,33.0
307,10,297.74459529876816,30,29.36650205476183,297.0,33.0
372,12,361.6244975445045,32,30.85577673969935,360.0,33.0
436,14,423.1533484707279,32,31.396235577969062,422.0,33.0
526,17,509.9351743145725,31,29.749024495949243,509.0,33.0
628,20,609.5168256801486,38,36.17443614161364,608.0,37.0
1021,25,995.6844427761299,93,89.24747030454459,996.0,169.0
1227,30,1195.0895424701455,42,41.6774629850591,1197.0,169.0
1912,40,1870.872504589984,131,130.13056910742984,1872.0,169.0
3881,50,3822.2272988343416,302,299.71173002486336,3831.0,301.0
7007,60,6938.063873355406,267,265.6202126300889,6947.0,440.0
9630,70,9548.152074050458,246,244.50725262630993,9560.0,440.0
12613,80,12529.063892135056,309,309.86451093160184,12533.0,440.0
16108,90,16015.316215798885,429,430.66587520920376,16018.0,525.0
19891,100,19784.514794379524,365,362.78305417657896,19791.0,532.0
31711,120,31575.26529112533,856,852.0220939834704,31591.0,855.0
46053,140,45904.31837938195,1001,999.7847493067948,45919.0,1001.0
71679,170,71499.37787427696,1001,998.9516236923262,71530.0,1001.0
100100,200,99916.18476507672,1001,1004.2904615729138,99940.0,1001.0
134600,250,134404.39624294167,1001,1002.5477989331994,134415.0,1001.0
171308,300,171107.40773437775,36,34.74353628977273,171106.0,1001.0
228094,400,227826.65549342876,1001,1003.5351574407467,227825.0,1001.0
306810,500,306467.5136519426,78,76.49275648383836,306487.0,1001.0
400041,600,399684.45146730205,1001,1003.8877047841697,399697.0,1001.0
480648,700,480242.06682627264,220,220.2265697202373,480251.0,1001.0
553987,800,553563.2380652926,31,30.350898662360514,553541.0,1001.0
620815,900,620348.6074467393,891,888.5653838235716,620306.0,1001.0
704943,1000,704449.3835802346,190,189.05145662346482,704385.0,1001.0
