steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
12,1,-0.004166666666666667,12,-0.004166666666666667,1,0.0
24,2,-0.010833333333333334,12,-0.006666666666666667,2,0.0
36,3,-0.8829461823893993,12,-0.8721128490560659,3,0.0
48,4,-0.8896128490560661,12,-0.006666666666666667,4,0.0
60,5,1.0239145187759005,12,1.9135273678319666,5,0.0
72,6,1.0172478521092345,12,-0.006666666666666667,6,0.0
84,7,1.0097478521092353,12,-0.007500000000000001,7,0.0
96,8,1.0039145187759027,12,-0.005833333333333334,8,0.0
108,9,0.9972478521092363,12,-0.006666666666666667,9,0.0
120,10,0.9742602054502819,12,-0.022987646658954326,10,0.0
144,12,1.5633051883154265,12,-0.005,12,0.0
168,14,1.8631036747816907,12,-0.12507709879317258,14,0.0
204,17,1.9761390416148932,12,0.0601653916058636,17,0.0
240,20,3.2659634823179706,12,0.7544155362033622,20,0.0
300,25,0.04508305477405673,12,-0.10812545755232938,25,0.0
360,30,-6.443178608060786,12,-0.2411717845579387,30,0.0
480,40,-6.344480232841615,12,-0.005833333333333334,40,0.0
600,50,-6.385313566174955,12,-0.0025,49,0.0
720,60,-6.442813566174964,12,-0.006666666666666667,59,0.0
840,70,-5.96596939234963,12,-0.004166666666666667,69,0.0
960,80,-6.019302725682972,12,-0.005833333333333334,77,0.0
1080,90,-6.189171697744234,12,-0.005,87,0.0
1200,100,-4.666297008300854,12,-0.004166666666666667,97,0.0
1440,120,-11.078489229154682,12,-0.0033333333333333335,117,0.0
1680,140,-7.9218543151758345,12,-0.006666666666666667,134,0.0
2040,170,-9.126922528816209,12,-0.004166666666666667,164,0.0
2400,200,-8.940134969788808,12,-0.005,193,0.0
3000,250,-7.8853744787190365,12,-0.005833333333333334,241,0.0
3600,300,-9.628605786490631,12,-0.005833333333333334,287,0.0
4800,400,-13.599522847168775,12,-0.005,379,0.0
6000,500,-13.500486820164076,12,-0.0025,468,0.0
7200,600,-14.65550688672633,12,-0.006666666666666667,555,0.0
8400,700,-18.885361164043786,12,-0.3237017711965867,643,0.0
9600,800,-16.36931477333378,12,-0.005833333333333334,738,0.0
10800,900,-15.800371990782446,12,-0.004166666666666667,831,0.0
12000,1000,-12.771133860289504,12,-0.006666666666666667,928,0.0
14400,1200,-16.017436412913412,12,1.2021895668957727,1120,0.0
16800,1400,-21.19607536554198,12,-0.005,1302,0.0
20400,1700,-5.185796478997742,12,0.7340727210868526,1586,0.0
24000,2000,8.085207146218833,12,0.028527765416063278,1855,0.0
30000,2500,13.706371565857268,12,0.041872011768265285,2312,0.0
36000,3000,0.37976420464999106,12,-0.5469137488571106,2763,0.0
48000,4000,19.889390797156896,12,-1.2028972246991707,3682,0.0
60000,5000,-14.972825978775653,12,-0.009166666666666667,4601,0.0
72000,6000,95.5059455724152,12,-0.31753803484977383,5057,132.0
84000,7000,397.0598493271256,12,-0.006666666666666667,5220,412.0
96000,8000,715.9866526306021,12,0.43727614071359777,5376,708.0
108000,9000,995.3048368933354,12,-0.006666666666666667,5548,1007.0
120000,10000,1246.3856337842963,12,-0.006666666666666667,5726,1280.0
